"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Roxbury","Boston","MA","Boston","Suffolk",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1797.5,1702.5,1800,1800,1800,1900,1950,2100,1870,1800,1800,1800,1900,1950,2000,2010,2150,2200,2200,2150,2200,2200,2200,2175,2200,2272.5,2400,2425,2400,2495,2400,2400,2300,2200,2100,2175,2500,2700,2625,2450,2500,2592.5
"Mott Haven","New York","NY","New York","Bronx",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730,1800,1600,1585,1600,1600,1600,1700,1600,1600,1700,1700,1700,1700,1700,1750,1650,1913,1800,1800,1825,1800,1800,1800,1800,1800
"University Heights","New York","NY","New York","Bronx",97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1125,1150,1150,1150,1147.5,1150,1195,1160,1135,1160,1150,1199,1200,1225,1200,1250,1269,1300,1300,1285,1250,1300,1300,1300,1300,1300,1300,1400,1400,1362.5,1350,1375,1350,1350,1350,1350,1350,1350,1400
"Bayside","New York","NY","New York","Queens",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1700,1700,1750,1750,1675,1725,1750,1750,1695,1775,1800,1750,1800,1800,1800,2000,2100,2000,2000,1900,2000,2000,1987.5,2000,1950,1950,1882.5,1850,1995,2000,1950,1950,2095,2100,2200,2072.5,2100,2100,1995,1950,2200
"Bedford Park","New York","NY","New York","Bronx",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1200,1250,1100,1100,1050,1100,1250,1294,1250,1285,1297.5,1300,1269,1250,1200,1269,1250,1294,1300,1300,1300,1275,1300,1300,1300,1300,1300,1300,1300,1300,1375,1350,1400,1400,1400,1450,1400,1400,1400,1400,1400,1412.5
"Gresham","Chicago","IL","Chicago","Cook",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,875,937.5,850,900,900,887.5,850,850,900,850,925,950,950,977.5,1000,983,983,1000,1000,980,987.5,1000,995,995
"Maspeth","New York","NY","New York","Queens",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1600,1700,1650,1650,1637.5,1600,1600,1650,1675,1650,1650,1750,1650,1700,1700,1750,1800,1800,1800,1775,1800,1800,1800,1800,1800,1800,1825,1800,1800,1825,1900,1850,1900,1900,1850,1950,1995,2000,2099,2050,2100
"Lake Highlands","Dallas","TX","Dallas-Fort Worth","Dallas",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043.5,1080,1074,1037,1106,1119,1097,1157,1164,1169.5,1100,1127,1132,1137.5,1109,1150,1109,1109,1037.5,1101,1076,1063.5,1057,1102,1070,1103,1079
"Hamilton Heights","New York","NY","New York","New York",103,,,,,,,,1650,1600,1850,1995,1850,1800,1795,1839,1850,1950,1850,1850,1795,1750,1844.5,1972.5,1900,1895,1900,1995,1995,1950,1950,1895,1995,1995,2000,2000,2100,2200,2200,2150,2150,2195,2195,2150,2150,2250,2350,2350,2300,2037.5,2200,2295,2254.5,2250,2300,2295,2232.5,2250,2250,2300,2382.5,2395,2200,2200,2400,2400,2375,2499.5,2400,2299.5,2250
"Santa Teresa","San Jose","CA","San Jose","Santa Clara",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,2195.5,2308.5,2365,2395,2386,2398,2323,2526,2518.5,2500,2505.5,2500,2500,2505.5,2525,2511,2804.5,2928,2913,2886,2808,2853,2777,2725,2635,2653,2710,2770,2651.5
"Woodlake - Briarmeadow","Houston","TX","Houston","Harris",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,1099,1100,1162,1182,1050,1195,1213.5,1052.5,1169,1078,1050,1065,1235,1240,1300,1122,1152.5,1246,1336,1425,1450,1450,1225,1250,1325,1200,1257
"Michael Way","Las Vegas","NV","Las Vegas","Clark",106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.5,675,750,720,800,800,850,730,822.5,850,875,862.5,875,816.5,850,800,734,709,700,677,682,689,799,800,745,700,749,819.5,725,695,700,749.5,799,789,768.5,829,811,796,846
"University City","San Diego","CA","San Diego","San Diego",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,2202.5,2190,2090,2090,2090,2045,2070,2074.5,2127.5,2305.5,2243.5,2335,2250,2095,2204.5,2240,2123,2191,2250,2335
"Chelsea","New York","NY","New York","New York",108,,,,,,2500,2800,2800,2800,2800,2895,2850,2850,2900,3000,2995,3212.5,3350,3330,3300,3395,3400,3395,3350,3400,3395,3400,3250,3250,3295,3350,3395,3350,3450,3450,3430,3452.5,3500,3450,3495,3495,3455,3500,3500,3500,3650,3650,3600,3700,3679.5,3650,3780,3750,3650,3650,3750,3795,3795,3800,3780,3787.5,3750,3550,3530,3600,3595,3620,3595,3646,3695
"Lake View","Chicago","IL","Chicago","Cook",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1620,1650,1695,1695,1760,1700,1650,1700,1750,1795,1775,1750,1705,1695,1650,1650,1600,1650,1757.5,1812.5,1800,1800
"Woodside","New York","NY","New York","Queens",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1650,1550,1625,1600,1600,1675,1700,1700,1650,1650,1650,1700,1725,1750,1750,1750,1725,1750,1750,1750,1750,1750,1725,1742.5,1775,1795,1795,1800,1825,1850,1825,1850,1900,1900,1899,1850,1850,1850,1825,1847.5,1895,1850
"Englewood","Chicago","IL","Chicago","Cook",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1000,1000,900,900,850,950,950,950,1000,1000,950,950,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,950,1000,962.5,1000,950,950,950,950,1000,950,950,1000,1000,1000,950,1000,975
